  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  48.000     0.000    0.000     4.848   5.108   3.130  1.0367869324e-03
  48.000     0.000    0.000     4.888   5.151   3.130  9.6895636878e-04
  48.000     0.000    0.000     4.928   5.193   3.130  9.0436609490e-04
  48.000     0.000    0.000     4.969   5.236   3.130  8.4300283391e-04
  48.000     0.000    0.000     5.009   5.279   3.130  8.0602093180e-04
  48.000     0.000    0.000     5.050   5.321   3.130  7.7647798223e-04
  48.000     0.000    0.000     5.090   5.364   3.130  7.4761601463e-04
  48.000     0.000    0.000     5.130   5.406   3.130  7.1945753030e-04
  48.000     0.000    0.000     5.171   5.449   3.130  6.9202319035e-04
  48.000     0.000    0.000     5.211   5.491   3.130  6.6532927909e-04
  48.000     0.000    0.000     5.252   5.534   3.130  6.3938712107e-04
  48.000     0.000    0.000     5.292   5.577   3.130  6.1420905731e-04
  48.000     0.000    0.000     5.332   5.619   3.130  5.8980267069e-04
  48.000     0.000    0.000     5.373   5.662   3.130  5.6617227265e-04
  48.000     0.000    0.000     5.413   5.704   3.130  5.4332154119e-04
  48.000     0.000    0.000     5.454   5.747   3.130  5.2125271572e-04
  48.000     0.000    0.000     5.494   5.789   3.130  4.9996431188e-04
  48.000     0.000    0.000     5.534   5.832   3.130  4.7945509532e-04
  48.000     0.000    0.000     5.575   5.875   3.130  4.5972028669e-04
  48.000     0.000    0.000     5.615   5.917   3.130  4.4075555699e-04
  48.000     0.000    0.000     5.656   5.960   3.130  4.2255365459e-04
  48.000     0.000    0.000     5.696   6.002   3.130  4.0510710009e-04
  48.000     0.000    0.000     5.736   6.045   3.130  3.8840787868e-04
  48.000     0.000    0.000     5.777   6.087   3.130  3.7244601572e-04
  48.000     0.000    0.000     5.817   6.130   3.130  3.5721142969e-04
  48.000     0.000    0.000     5.858   6.172   3.130  3.4269357851e-04
  48.000     0.000    0.000     5.898   6.215   3.130  3.2888073995e-04
  48.000     0.000    0.000     5.938   6.258   3.130  3.1576159775e-04
  48.000     0.000    0.000     5.979   6.300   3.130  3.0332378343e-04
  48.000     0.000    0.000     6.019   6.343   3.130  2.9155494625e-04

  48.500     0.000    0.000     2.020   2.128   3.130  6.5995946090e-04
  48.500     0.000    0.000     2.060   2.171   3.130  7.3356724551e-04
  48.500     0.000    0.000     2.101   2.214   3.130  8.1314925050e-04
  48.500     0.000    0.000     2.141   2.256   3.130  8.9863574519e-04
  48.500     0.000    0.000     2.181   2.299   3.130  1.0263976966e-03
  48.500     0.000    0.000     2.222   2.341   3.130  1.1745221005e-03
  48.500     0.000    0.000     2.262   2.384   3.130  1.3378589664e-03
  48.500     0.000    0.000     2.303   2.426   3.130  1.5162648757e-03
  48.500     0.000    0.000     2.343   2.469   3.130  1.7093422162e-03
  48.500     0.000    0.000     2.383   2.512   3.130  1.9220549357e-03
  48.500     0.000    0.000     2.424   2.554   3.130  2.2402895408e-03
  48.500     0.000    0.000     2.464   2.597   3.130  2.5885642871e-03
  48.500     0.000    0.000     2.505   2.639   3.130  2.9648577042e-03
  48.500     0.000    0.000     2.545   2.682   3.130  3.4232906670e-03
  48.500     0.000    0.000     2.585   2.724   3.130  4.0175759880e-03
  48.500     0.000    0.000     2.626   2.767   3.130  4.6553338166e-03
  48.500     0.000    0.000     2.666   2.810   3.130  5.5132711677e-03
  48.500     0.000    0.000     2.707   2.852   3.130  6.4665452272e-03
  48.500     0.000    0.000     2.747   2.895   3.130  7.7345777689e-03
  48.500     0.000    0.000     2.787   2.937   3.130  9.2353880201e-03
  48.500     0.000    0.000     2.828   2.980   3.130  1.1066874303e-02
  48.500     0.000    0.000     2.868   3.022   3.130  1.3301164173e-02
  48.500     0.000    0.000     2.909   3.065   3.130  1.5956204235e-02
  48.500     0.000    0.000     2.949   3.108   3.130  1.8957230618e-02
  48.500     0.000    0.000     2.989   3.150   3.130  2.2108791365e-02
  48.500     0.000    0.000     3.030   3.193   3.130  2.5064200130e-02
  48.500     0.000    0.000     3.070   3.235   3.130  2.7197828345e-02
  48.500     0.000    0.000     3.111   3.278   3.130  2.7951507639e-02
  48.500     0.000    0.000     3.151   3.320   3.130  2.7001644939e-02
  48.500     0.000    0.000     3.191   3.363   3.130  2.4637072635e-02
  48.500     0.000    0.000     3.232   3.406   3.130  2.1707268360e-02
  48.500     0.000    0.000     3.272   3.448   3.130  1.8843121019e-02
  48.500     0.000    0.000     3.313   3.491   3.130  1.6355490775e-02
  48.500     0.000    0.000     3.353   3.533   3.130  1.4253229676e-02
  48.500     0.000    0.000     3.393   3.576   3.130  1.2529778479e-02
  48.500     0.000    0.000     3.434   3.618   3.130  1.1102618576e-02
  48.500     0.000    0.000     3.474   3.661   3.130  9.8405193306e-03
  48.500     0.000    0.000     3.515   3.703   3.130  8.8925577817e-03
  48.500     0.000    0.000     3.555   3.746   3.130  7.9321113445e-03
  48.500     0.000    0.000     3.595   3.789   3.130  7.3000654609e-03
  48.500     0.000    0.000     3.636   3.831   3.130  6.6416791676e-03
  48.500     0.000    0.000     3.676   3.874   3.130  6.0171465244e-03
  48.500     0.000    0.000     3.717   3.916   3.130  5.6099512357e-03
  48.500     0.000    0.000     3.757   3.959   3.130  5.1996792850e-03
  48.500     0.000    0.000     3.797   4.001   3.130  4.7907238145e-03
  48.500     0.000    0.000     3.838   4.044   3.130  4.3871271207e-03
  48.500     0.000    0.000     3.878   4.087   3.130  4.0808545188e-03
  48.500     0.000    0.000     3.919   4.129   3.130  3.8576008396e-03
  48.500     0.000    0.000     3.959   4.172   3.130  3.6341734533e-03
  48.500     0.000    0.000     3.999   4.214   3.130  3.4120298742e-03
  48.500     0.000    0.000     4.040   4.257   3.130  3.1924916330e-03
  48.500     0.000    0.000     4.080   4.299   3.130  2.9767944982e-03
  48.500     0.000    0.000     4.121   4.342   3.130  2.7659991888e-03
  48.500     0.000    0.000     4.161   4.385   3.130  2.5610759152e-03
  48.500     0.000    0.000     4.201   4.427   3.130  2.3851856008e-03
  48.500     0.000    0.000     4.242   4.470   3.130  2.2851184973e-03
  48.500     0.000    0.000     4.282   4.512   3.130  2.1855335479e-03
  48.500     0.000    0.000     4.323   4.555   3.130  2.0867869921e-03
  48.500     0.000    0.000     4.363   4.597   3.130  1.9892021745e-03
  48.500     0.000    0.000     4.403   4.640   3.130  1.8930694130e-03
  48.500     0.000    0.000     4.444   4.683   3.130  1.7986571064e-03
  48.500     0.000    0.000     4.484   4.725   3.130  1.7062113558e-03
  48.500     0.000    0.000     4.525   4.768   3.130  1.6159419215e-03
  48.500     0.000    0.000     4.565   4.810   3.130  1.5280426970e-03
  48.500     0.000    0.000     4.605   4.853   3.130  1.4426732550e-03
  48.500     0.000    0.000     4.646   4.895   3.130  1.3599744053e-03
