  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  38.000     0.000    0.000     4.646   4.895   3.130  4.3445289041e-03
  38.000     0.000    0.000     4.848   5.108   3.130  3.1923844725e-03
  38.000     0.000    0.000     5.050   5.321   3.130  2.4881320713e-03
  38.000     0.000    0.000     5.252   5.534   3.130  2.0972024679e-03
  38.000     0.000    0.000     5.454   5.747   3.130  1.7606242395e-03
  38.000     0.000    0.000     5.656   5.960   3.130  1.4779716920e-03
  38.000     0.000    0.000     5.858   6.172   3.130  1.2467888859e-03
  40.000     0.000    0.000     2.020   2.128   3.130  3.3632949046e-03
  40.000     0.000    0.000     2.222   2.341   3.130  5.2966605493e-03
  40.000     0.000    0.000     2.424   2.554   3.130  8.9953502872e-03
  40.000     0.000    0.000     2.626   2.767   3.130  1.6835658804e-02
  40.000     0.000    0.000     2.828   2.980   3.130  3.4344654068e-02
  40.000     0.000    0.000     3.030   3.193   3.130  6.3871949893e-02
  40.000     0.000    0.000     3.232   3.406   3.130  5.5204857651e-02
  40.000     0.000    0.000     3.434   3.618   3.130  2.9854849106e-02
  40.000     0.000    0.000     3.636   3.831   3.130  1.7564877945e-02
  40.000     0.000    0.000     3.838   4.044   3.130  1.1305568036e-02
  40.000     0.000    0.000     4.040   4.257   3.130  8.0712162537e-03
  40.000     0.000    0.000     4.242   4.470   3.130  5.7093128370e-03
  40.000     0.000    0.000     4.444   4.683   3.130  4.4529653805e-03
  40.000     0.000    0.000     4.646   4.895   3.130  3.3612268033e-03
  40.000     0.000    0.000     4.848   5.108   3.130  2.4650942928e-03
  40.000     0.000    0.000     5.050   5.321   3.130  1.9032841442e-03
  40.000     0.000    0.000     5.252   5.534   3.130  1.5981816742e-03
  40.000     0.000    0.000     5.454   5.747   3.130  1.3351170729e-03
  40.000     0.000    0.000     5.656   5.960   3.130  1.1141486413e-03
  40.000     0.000    0.000     5.858   6.172   3.130  9.3359064829e-04
  42.000     0.000    0.000     2.020   2.128   3.130  2.3057231734e-03
  42.000     0.000    0.000     2.222   2.341   3.130  3.7145950664e-03
  42.000     0.000    0.000     2.424   2.554   3.130  6.4545079113e-03
  42.000     0.000    0.000     2.626   2.767   3.130  1.2345153127e-02
  42.000     0.000    0.000     2.828   2.980   3.130  2.6143932402e-02
  42.000     0.000    0.000     3.030   3.193   3.130  5.1448738227e-02
  42.000     0.000    0.000     3.232   3.406   
