  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  47.500     0.000    0.000     5.373   5.662   0.000  2.8971300107e-04
  47.500     0.000    0.000     5.413   5.704   0.000  2.8218829063e-04
  47.500     0.000    0.000     5.454   5.747   0.000  2.7482498103e-04
  47.500     0.000    0.000     5.494   5.789   0.000  2.6762339750e-04
  47.500     0.000    0.000     5.534   5.832   0.000  2.6058351950e-04
  47.500     0.000    0.000     5.575   5.875   0.000  2.5370500455e-04
  47.500     0.000    0.000     5.615   5.917   0.000  2.4698693299e-04
  47.500     0.000    0.000     5.656   5.960   0.000  2.4042918623e-04
  47.500     0.000    0.000     5.696   6.002   0.000  2.3403096002e-04
  47.500     0.000    0.000     5.736   6.045   0.000  2.2779083178e-04
  47.500     0.000    0.000     5.777   6.087   0.000  2.2170859900e-04
  47.500     0.000    0.000     5.817   6.130   0.000  2.1578180297e-04
  47.500     0.000    0.000     5.858   6.172   0.000  2.1001035473e-04
  47.500     0.000    0.000     5.898   6.215   0.000  2.0439187839e-04
  47.500     0.000    0.000     5.938   6.258   0.000  1.9892534164e-04
  47.500     0.000    0.000     5.979   6.300   0.000  1.9360912517e-04
  47.500     0.000    0.000     6.019   6.343   0.000  1.8844141612e-04

  48.000     0.000    0.000     2.020   2.128   0.000  8.1372406532e-04
  48.000     0.000    0.000     2.060   2.171   0.000  8.6033114119e-04
  48.000     0.000    0.000     2.101   2.214   0.000  9.0676461499e-04
  48.000     0.000    0.000     2.141   2.256   0.000  9.5279208321e-04
  48.000     0.000    0.000     2.181   2.299   0.000  1.0032659916e-03
  48.000     0.000    0.000     2.222   2.341   0.000  1.0630971191e-03
  48.000     0.000    0.000     2.262   2.384   0.000  1.1217117215e-03
  48.000     0.000    0.000     2.303   2.426   0.000  1.1786424114e-03
  48.000     0.000    0.000     2.343   2.469   0.000  1.2334271681e-03
  48.000     0.000    0.000     2.383   2.512   0.000  1.2856185337e-03
  48.000     0.000    0.000     2.424   2.554   0.000  1.3347881991e-03
  48.000     0.000    0.000     2.464   2.597   0.000  1.3805360728e-03
  48.000     0.000    0.000     2.505   2.639   0.000  1.4224947604e-03
  48.000     0.000    0.000     2.545   2.682   0.000  1.4603359364e-03
  48.000     0.000    0.000     2.585   2.724   0.000  1.4937754592e-03
  48.000     0.000    0.000     2.626   2.767   0.000  1.5225784905e-03
  48.000     0.000    0.000     2.666   2.810   0.000  1.5465591117e-03
  48.000     0.000    0.000     2.707   2.852   0.000  1.5655875417e-03
  48.000     0.000    0.000     2.747   2.895   0.000  1.5795874509e-03
  48.000     0.000    0.000     2.787   2.937   0.000  1.5885362768e-03
  48.000     0.000    0.000     2.828   2.980   0.000  1.5924623170e-03
  48.000     0.000    0.000     2.868   3.022   0.000  1.5914453713e-03
  48.000     0.000    0.000     2.909   3.065   0.000  1.5856084789e-03
  48.000     0.000    0.000     2.949   3.108   0.000  1.5751156148e-03
  48.000     0.000    0.000     2.989   3.150   0.000  1.5601698249e-03
  48.000     0.000    0.000     3.030   3.193   0.000  1.5410026799e-03
  48.000     0.000    0.000     3.070   3.235   0.000  1.5178731058e-03
  48.000     0.000    0.000     3.111   3.278   0.000  1.4910610092e-03
  48.000     0.000    0.000     3.151   3.320   0.000  1.4670568908e-03
  48.000     0.000    0.000     3.191   3.363   0.000  1.4548165211e-03
  48.000     0.000    0.000     3.232   3.406   0.000  1.4404660880e-03
  48.000     0.000    0.000     3.272   3.448   0.000  1.4241182949e-03
  48.000     0.000    0.000     3.313   3.491   0.000  1.4058944142e-03
  48.000     0.000    0.000     3.353   3.533   0.000  1.3859162321e-03
  48.000     0.000    0.000     3.393   3.576   0.000  1.3643052441e-03
