  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  48.000     0.000    0.000     3.676   3.874   2.350  7.5242291398e-04
  48.000     0.000    0.000     3.717   3.916   2.350  7.3456589436e-04
  48.000     0.000    0.000     3.757   3.959   2.350  7.1617786872e-04
  48.000     0.000    0.000     3.797   4.001   2.350  6.9733239319e-04
  48.000     0.000    0.000     3.838   4.044   2.350  6.7810283776e-04
  48.000     0.000    0.000     3.878   4.087   2.350  6.5855791940e-04
  48.000     0.000    0.000     3.919   4.129   2.350  6.3876470383e-04
  48.000     0.000    0.000     3.959   4.172   2.350  6.1878879607e-04
  48.000     0.000    0.000     3.999   4.214   2.350  5.9869177690e-04
  48.000     0.000    0.000     4.040   4.257   2.350  5.7853102880e-04
  48.000     0.000    0.000     4.080   4.299   2.350  5.5836224863e-04
  48.000     0.000    0.000     4.121   4.342   2.350  5.3823927302e-04
  48.000     0.000    0.000     4.161   4.385   2.350  5.1821159501e-04
  48.000     0.000    0.000     4.201   4.427   2.350  4.9832383889e-04
  48.000     0.000    0.000     4.242   4.470   2.350  4.7862156673e-04
  48.000     0.000    0.000     4.282   4.512   2.350  4.5914542303e-04
  48.000     0.000    0.000     4.323   4.555   2.350  4.3993190357e-04
  48.000     0.000    0.000     4.363   4.597   2.350  4.2101663875e-04
  48.000     0.000    0.000     4.403   4.640   2.350  4.0243048680e-04
  48.000     0.000    0.000     4.444   4.683   2.350  3.8420243019e-04
  48.000     0.000    0.000     4.484   4.725   2.350  3.6635942307e-04
  48.000     0.000    0.000     4.525   4.768   2.350  3.4892409353e-04
  48.000     0.000    0.000     4.565   4.810   2.350  3.3191807992e-04
  48.000     0.000    0.000     4.605   4.853   2.350  3.1535884191e-04
  48.000     0.000    0.000     4.646   4.895   2.350  2.9926294533e-04
  48.000     0.000    0.000     4.686   4.938   2.350  2.8364308969e-04
  48.000     0.000    0.000     4.727   4.981   2.350  2.7175726909e-04
  48.000     0.000    0.000     4.767   5.023   2.350  2.6455917071e-04
  48.000     0.000    0.000     4.807   5.066   2.350  2.5745979633e-04
  48.000     0.000    0.000     4.848   5.108   2.350  2.5046402303e-04
  48.000     0.000    0.000     4.888   5.151   2.350  2.4357582103e-04
  48.000     0.000    0.000     4.928   5.193   2.350  2.3679956622e-04
  48.000     0.000    0.000     4.969   5.236   2.350  2.3013883881e-04
  48.000     0.000    0.000     5.009   5.279   2.350  2.2359673085e-04
  48.000     0.000    0.000     5.050   5.321   2.350  2.1717586816e-04
  48.000     0.000    0.000     5.090   5.364   2.350  2.1087823580e-04
  48.000     0.000    0.000     5.130   5.406   2.350  2.0470619569e-04
  48.000     0.000    0.000     5.171   5.449   2.350  1.9866095002e-04
  48.000     0.000    0.000     5.211   5.491   2.350  1.9274481415e-04
  48.000     0.000    0.000     5.252   5.534   2.350  1.8695783555e-04
  48.000     0.000    0.000     5.292   5.577   2.350  1.8130125124e-04
  48.000     0.000    0.000     5.332   5.619   2.350  1.7577553039e-04
  48.000     0.000    0.000     5.373   5.662   2.350  1.7038058616e-04
  48.000     0.000    0.000     5.413   5.704   2.350  1.6511679599e-04
  48.000     0.000    0.000     5.454   5.747   2.350  1.5998400268e-04
  48.000     0.000    0.000     5.494   5.789   2.350  1.5498177756e-04
  48.000     0.000    0.000     5.534   5.832   2.350  1.5010930276e-04
  48.000     0.000    0.000     5.575   5.875   2.350  1.4536613259e-04
  48.000     0.000    0.000     5.615   5.917   2.350  1.4075138189e-04
  48.000     0.000    0.000     5.656   5.960   2.350  1.3626381175e-04
  48.000     0.000    0.000     5.696   6.002   2.350  1.3190250991e-04
  48.000     0.000    0.000     5.736   6.045   2.350  1.2766624104e-04
  48.000     0.000    0.000     5.777   6.087   2.350  1.2355336472e-04
  48.000     0.000    0.000     5.817   6.130   2.350  1.1956297199e-04
  48.000     0.000    0.000     5.858   6.172   2.350  1.1569280086e-04
  48.000     0.000    0.000     5.898   6.215   2.350  1.1194196383e-04
  48.000     0.000    0.000     5.938   6.258   2.350  1.0830830692e-04
  48.000     0.000    0.000     5.979   6.300   2.350  1.0479035491e-04
  48.000     0.000    0.000     6.019   6.343   2.350  1.0138613686e-04

  48.500     0.000    0.000     2.020   2.128   2.350  3.6322927329e-04
  48.500     0.000    0.000     2.060   2.171   2.350  4.2357906034e-04
  48.500     0.000    0.000     2.101   2.214   2.350  5.0497662771e-04
  48.500     0.000    0.000     2.141   2.256   2.350  6.0728656281e-04
  48.500     0.000    0.000     2.181   2.299   2.350  7.3043065291e-04
  48.500     0.000    0.000     2.222   2.341   2.350  8.6150388083e-04
  48.500     0.000    0.000     2.262   2.384   2.350  1.0069236938e-03
  48.500     0.000    0.000     2.303   2.426   2.350  1.1424250720e-03
  48.500     0.000    0.000     2.343   2.469   2.350  1.2608519769e-03
  48.500     0.000    0.000     2.383   2.512   2.350  1.3559927398e-03
  48.500     0.000    0.000     2.424   2.554   2.350  1.4231053102e-03
  48.500     0.000    0.000     2.464   2.597   2.350  1.4592941255e-03
  48.500     0.000    0.000     2.505   2.639   2.350  1.4718511526e-03
  48.500     0.000    0.000     2.545   2.682   2.350  1.4770934918e-03
  48.500     0.000    0.000     2.585   2.724   2.350  1.4594221554e-03
  48.500     0.000    0.000     2.626   2.767   2.350  1.4388321946e-03
  48.500     0.000    0.000     2.666   2.810   2.350  1.4217522014e-03
  48.500     0.000    0.000     2.707   2.852   2.350  1.3909454950e-03
  48.500     0.000    0.000     2.747   2.895   2.350  1.3479291745e-03
  48.500     0.000    0.000     2.787   2.937   2.350  1.3270808432e-03
  48.500     0.000    0.000     2.828   2.980   2.350  1.3061158501e-03
  48.500     0.000    0.000     2.868   3.022   2.350  1.2781482064e-03
  48.500     0.000    0.000     2.909   3.065   2.350  1.2439738596e-03
  48.500     0.000    0.000     2.949   3.108   2.350  1.2044328572e-03
  48.500     0.000    0.000     2.989   3.150   2.350  1.1603723246e-03
  48.500     0.000    0.000     3.030   3.193   2.350  1.1399544263e-03
  48.500     0.000    0.000     3.070   3.235   2.350  1.1236233121e-03
  48.500     0.000    0.000     3.111   3.278   2.350  1.1042856173e-03
  48.500     0.000    0.000     3.151   3.320   2.350  1.0822320367e-03
  48.500     0.000    0.000     3.191   3.363   2.350  1.0577475775e-03
